AttributeKey;hilucsLandUse;specificLandUse
SO_LUFTVERKEHRSRECHT_artDerFestlegung_5000;4_1_3_AirTransport;5_6_5_Ballonstartplatz
SO_LUFTVERKEHRSRECHT_artDerFestlegung_5200;4_1_3_AirTransport;5_6_6_Haengegleiter
SO_LUFTVERKEHRSRECHT_artDerFestlegung_5400;4_1_3_AirTransport;5_6_7_Gleitsegler
SO_LUFTVERKEHRSRECHT_artDerFestlegung_6000;4_1_3_AirTransport;5_6_8_Laermschutzbereich
SO_LUFTVERKEHRSRECHT_artDerFestlegung_7000;4_1_3_AirTransport;5_6_9_Baubeschraenkungsbereich
SO_LUFTVERKEHRSRECHT_artDerFestlegung_9999;4_1_3_AirTransport;5_6_10_Sonstiges
SO_LUFTVERKEHRSRECHT__;4_1_3_AirTransport;5_6_Luftverkehrsrecht
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_1000;4_1_2_RailwayTransport;5_7_1_Bahnanlage
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_1200;4_1_2_RailwayTransport;5_7_2_Bahnlinie
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_1400;4_1_2_RailwayTransport;5_7_3_OEPNV
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_9999;4_1_2_RailwayTransport;5_7_4_Sonstiges
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10000;4_1_2_RailwayTransport;5_7_1_1_DB_Bahnanlage
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10001;4_1_2_RailwayTransport;5_7_1_2_Personenbahnhof
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10002;4_1_2_RailwayTransport;5_7_1_3_Fernbahnhof
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10003;4_1_2_RailwayTransport;5_7_1_4_Gueterbahnhof
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12000;4_1_2_RailwayTransport;5_7_2_1_Personenbahnlinie
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12001;4_1_2_RailwayTransport;5_7_2_2_Regionalbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12002;4_1_2_RailwayTransport;5_7_2_3_Kleinbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12003;4_1_2_RailwayTransport;5_7_2_4_Gueterbahnlinie
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12004;4_1_2_RailwayTransport;5_7_2_5_WerksHafenbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12005;4_1_2_RailwayTransport;5_7_2_6_Seilbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14000;4_1_2_RailwayTransport;5_7_3_1_Strassenbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14001;4_1_2_RailwayTransport;5_7_3_2_UBahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14002;4_1_2_RailwayTransport;5_7_3_3_SBahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14003;4_1_2_RailwayTransport;5_7_3_4_OEPNV_Haltestelle
SO_SCHIENENVERKEHRSRECHT__;4_1_2_RailwayTransport;5_7_Schienenverkehrsrecht
SO_SONSTIGESRECHT_artDerFestlegung_1000;6_OtherUses;5_11_1_Bauschutzbereich
SO_SONSTIGESRECHT_artDerFestlegung_1100;6_OtherUses;5_11_2_Berggesetz
SO_SONSTIGESRECHT_artDerFestlegung_1200;6_OtherUses;5_11_3_Richtfunkverbindung
SO_SONSTIGESRECHT_artDerFestlegung_1300;6_OtherUses;5_11_4_Truppenuebungsplatz
SO_SONSTIGESRECHT_artDerFestlegung_1400;6_OtherUses;5_11_5_VermessungsKatasterrecht
SO_SONSTIGESRECHT_artDerFestlegung_9999;6_OtherUses;5_11_6_Sonstiges
SO_SONSTIGESRECHT__;6_OtherUses;5_11_SonstigesRecht
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1000;4_1_1_RoadTransport;5_12_1_Bundesautobahn
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1100;4_1_1_RoadTransport;5_12_2_Bundesstrasse
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1200;4_1_1_RoadTransport;5_12_3_LandesStaatsstrasse
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1300;4_1_1_RoadTransport;5_12_4_Kreisstrasse
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_9999;4_1_1_RoadTransport;5_12_5_SonstOeffentlStrasse
SO_STRASSENVERKEHRSRECHT__;4_1_1_RoadTransport;5_12_Strassenverkehrsrecht
SO_WASSERRECHT_artDerFestlegung_1000;6_3_2_WaterAreasNotInOtherEconomicUse;5_13_1_Gewaesser
SO_WASSERRECHT_artDerFestlegung_2000;6_OtherUses;5_13_2_Ueberschwemmungsgebiet
SO_WASSERRECHT_artDerFestlegung_9999;6_OtherUses;5_13_3_Sonstiges
SO_WASSERRECHT_artDerFestlegung_10000;4_1_4_WaterTransport;5_13_1_1_Gewaesser1Ordnung
SO_WASSERRECHT_artDerFestlegung_10001;4_1_4_WaterTransport;5_13_1_2_Gewaesser2Ordnung
SO_WASSERRECHT_artDerFestlegung_10002;4_1_4_WaterTransport;5_13_1_3_Gewaesser3Ordnung
SO_WASSERRECHT_artDerFestlegung_20000;6_OtherUses;5_13_2_1_FestgesetztesUeberschwemmungsgebiet
SO_WASSERRECHT_artDerFestlegung_20001;6_OtherUses;5_13_2_2_NochNichtFestgesetztesUeberschwemmungsgebiet
SO_WASSERRECHT_artDerFestlegung_20002;6_OtherUses;5_13_2_3_UeberschwemmGefaehrdetesGebiet
SO_WASSERRECHT__;6_OtherUses;5_13_Wasserrecht
