AttributeKey;hilucsLandUse;specificLandUse
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_22001;3_4_3_SportsInfrastructure;3_7_7_2_SportplatzSporthalle
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_22002;3_4_3_SportsInfrastructure;3_7_7_3_SonstigerSport
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24000;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_8_1_Feuerwehr
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24001;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_8_2_Schutzbauwerk
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24002;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_8_3_Justiz
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24003;3_3_1_PublicAdministrationDefenceAndSocialSecurityServices;3_7_8_4_SonstigeSicherheitOrdnung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_26000;3_2_3_InformationAndCommunicationServices;3_7_9_1_Post
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_26001;3_3_5_OtherCommunityServices;3_7_9_2_SonstigeInfrastruktur
BP_GEMEINBEDARFSFLAECHE__;3_TertiaryProduction;3_7_Gemeinbedarf
BP_GENERISCHESOBJEKT__;6_6_NotKnownUse;3_26_GenerischesObjekt
BP_GEWAESSERFLAECHE_zweckbestimmung_1000;4_1_4_WaterTransport;3_27_1_Hafen
BP_GEWAESSERFLAECHE_zweckbestimmung_1100;6_3_2_WaterAreasNotInOtherEconomicUse;3_27_2_Wasserflaeche
BP_GEWAESSERFLAECHE_zweckbestimmung_1200;6_3_2_WaterAreasNotInOtherEconomicUse;3_27_3_Fliessgewaesser
BP_GEWAESSERFLAECHE_zweckbestimmung_9999;6_3_2_WaterAreasNotInOtherEconomicUse;3_27_4_Sonstiges
BP_GEWAESSERFLAECHE__;6_3_2_WaterAreasNotInOtherEconomicUse;3_27_GewaesserFlaeche
BP_GRUENFLAECHE_zweckbestimmung_1000;3_4_4_OpenAirRecreationalAreas;3_28_1_Parkanlage
BP_GRUENFLAECHE_zweckbestimmung_1200;1_1_3_AgriculturalProductionForOwnConsumption;3_28_2_Dauerkleingarten
BP_GRUENFLAECHE_zweckbestimmung_1400;3_4_3_SportsInfrastructure;3_28_3_Sportplatz
BP_GRUENFLAECHE_zweckbestimmung_1600;3_4_4_OpenAirRecreationalAreas;3_28_4_Spielplatz
BP_GRUENFLAECHE_zweckbestimmung_1800;3_4_4_OpenAirRecreationalAreas;3_28_5_Zeltplatz
BP_GRUENFLAECHE_zweckbestimmung_2000;3_4_4_OpenAirRecreationalAreas;3_28_6_Badeplatz
BP_GRUENFLAECHE_zweckbestimmung_2200;3_4_CulturalEntertainmentAndRecreationalServices;3_28_7_FreizeitErholung
BP_GRUENFLAECHE_zweckbestimmung_2400;3_5_OtherServices;3_28_8_SpezGruenflaeche
BP_GRUENFLAECHE_zweckbestimmung_2600;3_3_5_OtherCommunityServices;3_28_9_Friedhof
BP_GRUENFLAECHE_zweckbestimmung_9999;6_6_NotKnownUse;3_28_10_Sonstiges
BP_GRUENFLAECHE_zweckbestimmung_10000;3_4_4_OpenAirRecreationalAreas;3_28_1_1_ParkanlageHistorisch
BP_GRUENFLAECHE_zweckbestimmung_10001;3_4_4_OpenAirRecreationalAreas;3_28_1_2_ParkanlageNaturnah
BP_GRUENFLAECHE_zweckbestimmung_10002;3_4_4_OpenAirRecreationalAreas;3_28_1_3_ParkanlageWaldcharakter
BP_GRUENFLAECHE_zweckbestimmung_10003;3_4_4_OpenAirRecreationalAreas;3_28_1_4_NaturnaheUferParkanlage
BP_GRUENFLAECHE_zweckbestimmung_12000;1_1_3_AgriculturalProductionForOwnConsumption && 3_4_4_OpenAirRecreationalAreas;3_28_2_1_ErholungsGaerten
BP_GRUENFLAECHE_zweckbestimmung_14000;3_4_3_SportsInfrastructure;3_28_3_1_Reitsportanlage
BP_GRUENFLAECHE_zweckbestimmung_14001;3_4_3_SportsInfrastructure;3_28_3_2_Hundesportanlage
BP_GRUENFLAECHE_zweckbestimmung_14002;3_4_3_SportsInfrastructure;3_28_3_3_Wassersportanlage
BP_GRUENFLAECHE_zweckbestimmung_14003;3_4_3_SportsInfrastructure;3_28_3_4_Schiessstand
BP_GRUENFLAECHE_zweckbestimmung_14004;3_4_3_SportsInfrastructure;3_28_3_5_Golfplatz
BP_GRUENFLAECHE_zweckbestimmung_14005;3_4_3_SportsInfrastructure;3_28_3_6_Skisport
BP_GRUENFLAECHE_zweckbestimmung_14006;3_4_3_SportsInfrastructure;3_28_3_7_Tennisanlage
BP_GRUENFLAECHE_zweckbestimmung_14007;3_4_3_SportsInfrastructure;3_28_3_8_SonstigerSportplatz
BP_GRUENFLAECHE_zweckbestimmung_16000;3_4_3_SportsInfrastructure;3_28_4_1_Bolzplatz
BP_GRUENFLAECHE_zweckbestimmung_16001;3_4_4_OpenAirRecreationalAreas;3_28_4_2_Abenteuerspielplatz
BP_GRUENFLAECHE_zweckbestimmung_18000;3_4_4_OpenAirRecreationalAreas;3_28_5_1_Campingplatz
BP_GRUENFLAECHE_zweckbestimmung_22000;1_1_3_AgriculturalProductionForOwnConsumption;3_28_7_1_Kleintierhaltung
BP_GRUENFLAECHE_zweckbestimmung_22001;3_4_2_EntertainmentServices;3_28_7_2_Festplatz
BP_GRUENFLAECHE_zweckbestimmung_24000;6_3_1_LandAreasNotInOtherEconomicUse;3_28_8_1_StrassenbegleitGruen
BP_GRUENFLAECHE_zweckbestimmung_24001;6_3_NaturalAreasNotInOtherEconomicUse;3_28_8_2_BoeschungsFlaeche
BP_GRUENFLAECHE_zweckbestimmung_24002;6_3_1_LandAreasNotInOtherEconomicUse;3_28_8_3_FeldWaldWiese
BP_GRUENFLAECHE_zweckbestimmung_24003;6_3_NaturalAreasNotInOtherEconomicUse;3_28_8_4_Uferschutzstreifen
BP_GRUENFLAECHE_zweckbestimmung_24004;6_3_1_LandAreasNotInOtherEconomicUse;3_28_8_5_Abschirmgruen
BP_GRUENFLAECHE_zweckbestimmung_24005;3_3_2_EducationalServices;3_28_8_6_UmweltbildungsparkSchaugatter
BP_GRUENFLAECHE_zweckbestimmung_24006;4_1_1_RoadTransport;3_28_8_7_RuhenderVerkehr
BP_GRUENFLAECHE_zweckbestimmung_99990;1_1_1_CommercialAgriculturalProduction;3_28_10_1_Gaertnerei
BP_GRUENFLAECHE__;3_4_4_OpenAirRecreationalAreas;3_28_Gruen
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_1000;6_6_NotKnownUse;3_31_1_Naturgewalten
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_2000;1_3_MiningAndQuarrying;3_31_2_Abbauflaeche
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_3000;6_6_NotKnownUse;3_31_3_AeussereEinwirkungen
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_4000;6_6_NotKnownUse;3_31_4_SchadstoffBelastBoden
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_5000;6_6_NotKnownUse;3_31_5_LaermBelastung
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_6000;1_3_MiningAndQuarrying;3_31_6_Bergbau
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_7000;6_6_NotKnownUse;3_31_7_Bodenordnung
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_8000;6_6_NotKnownUse;3_31_8_Vorhabensgebiet
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_9999;6_6_NotKnownUse;3_31_9_AndereGesetzlVorschriften
BP_KENNZEICHNUNGSFLAECHE__;6_6_NotKnownUse;3_31_KennzeichnungsFlaeche
BP_KLEINTIERHALTUNGFLAECHE__;1_1_3_AgriculturalProductionForOwnConsumption;3_32_KleintierhaltungFlaeche
BP_LANDWIRTSCHAFT_zweckbestimmung_1000;1_1_Agriculture;3_33_1_LandwirtschaftAllgemein
BP_LANDWIRTSCHAFT_zweckbestimmung_1100;1_1_1_CommercialAgriculturalProduction;3_33_2_Ackerbau
BP_LANDWIRTSCHAFT_zweckbestimmung_1200;1_1_1_CommercialAgriculturalProduction;3_33_3_WiesenWeidewirtschaft
BP_LANDWIRTSCHAFT_zweckbestimmung_1300;1_1_1_CommercialAgriculturalProduction;3_33_4_GartenbaulicheErzeugung
BP_LANDWIRTSCHAFT_zweckbestimmung_1400;1_1_1_CommercialAgriculturalProduction;3_33_5_Obstbau
BP_LANDWIRTSCHAFT_zweckbestimmung_1500;1_1_1_CommercialAgriculturalProduction;3_33_6_Weinbau
BP_LANDWIRTSCHAFT_zweckbestimmung_1600;1_1_1_CommercialAgriculturalProduction;3_33_7_Imkerei
BP_LANDWIRTSCHAFT_zweckbestimmung_1700;1_4_2_ProfessionalFishing;3_33_8_Binnenfischerei
BP_LANDWIRTSCHAFT_zweckbestimmung_9999;1_1_Agriculture;3_33_9_Sonstiges
BP_LANDWIRTSCHAFT__;1_1_Agriculture;3_33_Landwirtschaft
BP_REKULTIVIERUNGSFLAECHE__;6_3_NaturalAreasNotInOtherEconomicUse;3_39_RekultivierungsFlaeche
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_1000;6_3_NaturalAreasNotInOtherEconomicUse;3_40_1_SchutzPflege
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_2000;6_3_NaturalAreasNotInOtherEconomicUse;3_40_2_Entwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_3000;6_3_NaturalAreasNotInOtherEconomicUse;3_40_3_Anlage
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_4000;6_3_NaturalAreasNotInOtherEconomicUse;3_40_4_SchutzPflegeEntwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_9999;6_3_NaturalAreasNotInOtherEconomicUse;3_40_5_Sonstiges
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE__;6_3_NaturalAreasNotInOtherEconomicUse;3_40_SchutzPflegeEntwicklungsFlaeche
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_1000;6_3_NaturalAreasNotInOtherEconomicUse;3_41_1_SchutzPflege
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_2000;6_3_NaturalAreasNotInOtherEconomicUse;3_41_2_Entwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_3000;6_3_NaturalAreasNotInOtherEconomicUse;3_41_3_Anlage
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_4000;6_3_NaturalAreasNotInOtherEconomicUse;3_41_4_SchutzPflegeEntwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_9999;6_3_NaturalAreasNotInOtherEconomicUse;3_41_5_Sonstiges
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME__;6_3_NaturalAreasNotInOtherEconomicUse;3_41_SchutzPflegeEntwicklungsMassnahme
BP_SPIELSPORTANLAGENFLAECHE_zweckbestimmung_1000;3_4_3_SportsInfrastructure;3_43_1_Sportanlage
BP_SPIELSPORTANLAGENFLAECHE_zweckbestimmung_2000;3_4_3_SportsInfrastructure;3_43_2_Spielanlage
BP_SPIELSPORTANLAGENFLAECHE_zweckbestimmung_3000;3_4_3_SportsInfrastructure;3_43_3_SpielSportanlage
BP_SPIELSPORTANLAGENFLAECHE_zweckbestimmung_9999;3_4_3_SportsInfrastructure;3_43_4_Sonstiges
BP_SPIELSPORTANLAGENFLAECHE__;3_4_3_SportsInfrastructure;3_43_SpielSportanlagenFlaeche
BP_STRASSENVERKEHRSFLAECHE_nutzungsform_1000;4_1_1_RoadTransport;3_44_1_Privat
BP_STRASSENVERKEHRSFLAECHE_nutzungsform_2000;4_1_1_RoadTransport;3_44_2_Oeffentlich
BP_STRASSENVERKEHRSFLAECHE__;4_1_1_RoadTransport;3_44_StrassenVerkehrsFlaeche
BP_VERENTSORGUNG_zweckbestimmung_1000;2_4_EnergyProduction && 4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_1_Elektrizitaet
BP_VERENTSORGUNG_zweckbestimmung_1200;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_Gas
BP_VERENTSORGUNG_zweckbestimmung_1300;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_3_Erdoel
BP_VERENTSORGUNG_zweckbestimmung_1400;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_4_Waermeversorgung
BP_VERENTSORGUNG_zweckbestimmung_1600;4_3_2_WaterAndSewageInfrastructure;3_51_5_Wasser
BP_VERENTSORGUNG_zweckbestimmung_1800;4_3_2_WaterAndSewageInfrastructure;3_51_6_Abwasser
BP_VERENTSORGUNG_zweckbestimmung_2000;4_3_2_WaterAndSewageInfrastructure;3_51_7_Regenwasser
BP_VERENTSORGUNG_zweckbestimmung_2200;4_3_3_WasteTreatment;3_51_8_Abfallentsorgung
BP_VERENTSORGUNG_zweckbestimmung_2400;4_3_3_WasteTreatment;3_51_9_Ablagerung
BP_VERENTSORGUNG_zweckbestimmung_2600;4_3_4_OtherUtilities;3_51_10_Telekommunikation
BP_VERENTSORGUNG_zweckbestimmung_2800;2_4_4_RenewableEnergyProduction;3_51_11_ErneuerbareEnergien
BP_VERENTSORGUNG_zweckbestimmung_3000;2_4_4_RenewableEnergyProduction;3_51_12_KraftWaermeKopplung
BP_VERENTSORGUNG_zweckbestimmung_9999;4_3_4_OtherUtilities;3_51_13_Sonstiges
BP_VERENTSORGUNG_zweckbestimmung_10000;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_1_1_Hochspannungsleitung
BP_VERENTSORGUNG_zweckbestimmung_10001;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_1_2_TrafostationUmspannwerk
BP_VERENTSORGUNG_zweckbestimmung_10002;2_4_4_RenewableEnergyProduction;3_51_1_3_Solarkraftwerk
BP_VERENTSORGUNG_zweckbestimmung_10003;2_4_4_RenewableEnergyProduction;3_51_1_4_Windkraftwerk
BP_VERENTSORGUNG_zweckbestimmung_10004;2_4_4_RenewableEnergyProduction;3_51_1_5_Geothermiekraftwerk
BP_VERENTSORGUNG_zweckbestimmung_10005;2_4_EnergyProduction;3_51_1_6_Elektrizitaetswerk
BP_VERENTSORGUNG_zweckbestimmung_10006;2_4_4_RenewableEnergyProduction;3_51_1_7_Wasserkraftwerk
BP_VERENTSORGUNG_zweckbestimmung_10007;2_4_3_BiomassBasedEnergyProduction;3_51_1_8_BiomasseKraftwerk
BP_VERENTSORGUNG_zweckbestimmung_10008;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_1_9_Kabelleitung
BP_VERENTSORGUNG_zweckbestimmung_10009;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_1_10_Niederspannungsleitung
BP_VERENTSORGUNG_zweckbestimmung_12000;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_1_Ferngasleitung
BP_VERENTSORGUNG_zweckbestimmung_12001;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_2_Gaswerk
BP_VERENTSORGUNG_zweckbestimmung_12002;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_3_Gasbehaelter
BP_VERENTSORGUNG_zweckbestimmung_12003;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_4_Gasdruckregler
BP_VERENTSORGUNG_zweckbestimmung_12004;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_5_Gasstation
BP_VERENTSORGUNG_zweckbestimmung_12005;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_2_6_Gasleitung
BP_VERENTSORGUNG_zweckbestimmung_13000;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_3_1_Erdoelleitung
BP_VERENTSORGUNG_zweckbestimmung_13001;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_3_2_Bohrstelle
BP_VERENTSORGUNG_zweckbestimmung_13002;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_3_3_Erdoelpumpstation
BP_VERENTSORGUNG_zweckbestimmung_13003;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_3_4_Oeltank
BP_VERENTSORGUNG_zweckbestimmung_14000;2_4_EnergyProduction;3_51_4_1_Blockheizkraftwerk
BP_VERENTSORGUNG_zweckbestimmung_14001;4_3_1_ElectricityGasAndThermalPowerDistributionServices;3_51_4_2_Fernwaermeleitung
BP_VERENTSORGUNG_zweckbestimmung_14002;2_4_EnergyProduction;3_51_4_3_Fernheizwerk
BP_VERENTSORGUNG_zweckbestimmung_16000;4_3_2_WaterAndSewageInfrastructure;3_51_5_1_Wasserwerk
BP_VERENTSORGUNG_zweckbestimmung_16001;4_3_2_WaterAndSewageInfrastructure;3_51_5_2_Wasserleitung
BP_VERENTSORGUNG_zweckbestimmung_16002;4_3_2_WaterAndSewageInfrastructure;3_51_5_3_Wasserspeicher
BP_VERENTSORGUNG_zweckbestimmung_16003;4_3_2_WaterAndSewageInfrastructure;3_51_5_4_Brunnen
BP_VERENTSORGUNG_zweckbestimmung_16004;4_3_2_WaterAndSewageInfrastructure;3_51_5_5_Pumpwerk
BP_VERENTSORGUNG_zweckbestimmung_16005;4_3_2_WaterAndSewageInfrastructure;3_51_5_6_Quelle
BP_VERENTSORGUNG_zweckbestimmung_18000;4_3_2_WaterAndSewageInfrastructure;3_51_6_1_Abwasserleitung
BP_VERENTSORGUNG_zweckbestimmung_18001;4_3_2_WaterAndSewageInfrastructure;3_51_6_2_Abwasserrueckhaltebecken
BP_VERENTSORGUNG_zweckbestimmung_18002;4_3_2_WaterAndSewageInfrastructure;3_51_6_3_Abwasserpumpwerk
BP_VERENTSORGUNG_zweckbestimmung_18003;4_3_2_WaterAndSewageInfrastructure;3_51_6_4_Klaeranlage
BP_VERENTSORGUNG_zweckbestimmung_18004;4_3_2_WaterAndSewageInfrastructure;3_51_6_5_AnlageKlaerschlamm
BP_VERENTSORGUNG_zweckbestimmung_18005;4_3_2_WaterAndSewageInfrastructure;3_51_6_6_SonstigeAbwasserBehandlungsanlage
BP_VERENTSORGUNG_zweckbestimmung_18006;4_3_2_WaterAndSewageInfrastructure;3_51_6_7_SalzSoleeinleitungen
BP_VERENTSORGUNG_zweckbestimmung_20000;4_3_2_WaterAndSewageInfrastructure;3_51_7_1_RegenwasserRueckhaltebecken
BP_VERENTSORGUNG_zweckbestimmung_20001;4_3_2_WaterAndSewageInfrastructure;3_51_7_2_Niederschlagswasserleitung
BP_VERENTSORGUNG_zweckbestimmung_22000;4_3_3_WasteTreatment;3_51_8_1_Muellumladestation
BP_VERENTSORGUNG_zweckbestimmung_22001;4_3_3_WasteTreatment;3_51_8_2_Muellbeseitigungsanlage
BP_VERENTSORGUNG_zweckbestimmung_22002;4_3_3_WasteTreatment;3_51_8_3_Muellsortieranlage
BP_VERENTSORGUNG_zweckbestimmung_22003;4_3_3_WasteTreatment;3_51_8_4_Recyclinghof
BP_VERENTSORGUNG_zweckbestimmung_24000;4_3_3_WasteTreatment;3_51_9_1_Erdaushubdeponie
BP_VERENTSORGUNG_zweckbestimmung_24001;4_3_3_WasteTreatment;3_51_9_2_Bauschuttdeponie
BP_VERENTSORGUNG_zweckbestimmung_24002;4_3_3_WasteTreatment;3_51_9_3_Hausmuelldeponie
BP_VERENTSORGUNG_zweckbestimmung_24003;4_3_3_WasteTreatment;3_51_9_4_Sondermuelldeponie
