AttributeKey;supplementaryRegulation;specificSupplementaryRegulation
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_1000;7_3_1_2_RailRoad;5_7_1_Bahnanlage
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_1200;7_3_1_2_RailRoad;5_7_2_Bahnlinie
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_1400;7_3_1_2_RailRoad;5_7_3_OEPNV
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_9999;7_3_1_2_RailRoad;5_7_4_Sonstiges
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10000;7_3_1_2_RailRoad;5_7_1_1_DB_Bahnanlage
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10001;7_3_1_2_RailRoad;5_7_1_2_Personenbahnhof
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10002;7_3_1_2_RailRoad;5_7_1_3_Fernbahnhof
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_10003;7_3_1_2_RailRoad;5_7_1_4_Gueterbahnhof
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12000;7_3_1_2_RailRoad;5_7_2_1_Personenbahnlinie
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12001;7_3_1_2_RailRoad;5_7_2_2_Regionalbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12002;7_3_1_2_RailRoad;5_7_2_3_Kleinbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12003;7_3_1_2_RailRoad;5_7_2_4_Gueterbahnlinie
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12004;7_3_1_2_RailRoad;5_7_2_5_WerksHafenbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_12005;7_3_1_2_RailRoad;5_7_2_6_Seilbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14000;7_3_1_2_RailRoad;5_7_3_1_Strassenbahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14001;7_3_1_2_RailRoad;5_7_3_2_UBahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14002;7_3_1_2_RailRoad;5_7_3_3_SBahn
SO_SCHIENENVERKEHRSRECHT_artDerFestlegung_14003;7_3_1_2_RailRoad;5_7_3_4_OEPNV_Haltestelle
SO_SCHIENENVERKEHRSRECHT__;7_3_1_2_RailRoad;5_7_Schienenverkehrsrecht
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1000;1_4_NatureProtection;5_8_1_Naturschutzgebiet
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1100;1_4_NatureProtection;5_8_2_Nationalpark
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1200;1_4_2_BiodiversityReservoir;5_8_3_Biosphaerenreservat
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1300;3_2_LandscapeAreaProtection;5_8_4_Landschaftsschutzgebiet
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1400;1_4_7_OtherNatureProtectionArea;5_8_5_Naturpark
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1500;3_1_NaturalHeritageProtection;5_8_6_Naturdenkmal
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1600;3_2_LandscapeAreaProtection;5_8_7_GeschuetzterLandschaftsBestandteil
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1700;3_1_1_BiodiversityProtection;5_8_8_GesetzlichGeschuetztesBiotop
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_1800;1_4_NatureProtection;5_8_9_Natura2000
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_2000;3_2_LandscapeAreaProtection;5_8_10_NationalesNaturmonument
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_9999;10_OtherSupplementaryRegulation;5_8_11_Sonstiges
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_18000;1_4_NatureProtection;5_8_9_1_GebietGemeinschaftlicherBedeutung
SO_SCHUTZGEBIETNATURSCHUTZRECHT_artDerFestlegung_18001;1_4_NatureProtection;5_8_9_2_EuropaeischesVogelschutzgebiet
SO_SCHUTZGEBIETNATURSCHUTZRECHT__;10_OtherSupplementaryRegulation;5_8_SchutzgebietNaturschutzrecht
SO_SCHUTZGEBIETSONSTIGESRECHT_artDerFestlegung_1000;1_1_NoiseManagementZone;5_9_1_Laermschutzbereich
SO_SCHUTZGEBIETSONSTIGESRECHT_artDerFestlegung_2000;4_1_3_3_ElectricalPowerLineEasement;5_9_2_SchutzzoneLeitungstrasse
SO_SCHUTZGEBIETSONSTIGESRECHT_artDerFestlegung_9999;10_OtherSupplementaryRegulation;5_9_3_Sonstiges
SO_SCHUTZGEBIETSONSTIGESRECHT__;10_OtherSupplementaryRegulation;5_9_SchutzgebietSonstigesRecht
SO_SCHUTZGEBIETWASSERRECHT_artDerFestlegung_1000;1_6_WaterProtection;5_10_1_Wasserschutzgebiet
SO_SCHUTZGEBIETWASSERRECHT_artDerFestlegung_2000;1_6_4_BathingWaters;5_10_2_Heilquellenschutzgebiet
SO_SCHUTZGEBIETWASSERRECHT_artDerFestlegung_9999;1_6_WaterProtection;5_10_3_Sonstiges
SO_SCHUTZGEBIETWASSERRECHT_artDerFestlegung_10000;1_6_5_DrinkingWaterProtectionArea;5_10_1_1_QuellGrundwasserSchutzgebiet
SO_SCHUTZGEBIETWASSERRECHT_artDerFestlegung_10001;1_6_WaterProtection;5_10_1_2_OberflaechengewaesserSchutzgebiet
SO_SCHUTZGEBIETWASSERRECHT__;1_6_WaterProtection;5_10_SchutzgebietWasserrecht
SO_SONSTIGESRECHT_artDerFestlegung_1000;4_2_OtherEasement;5_11_1_Bauschutzbereich
SO_SONSTIGESRECHT_artDerFestlegung_1100;2_RiskExposure;5_11_2_Berggesetz
SO_SONSTIGESRECHT_artDerFestlegung_1200;4_1_3_5_RadioElectricalEasement;5_11_3_Richtfunkverbindung
SO_SONSTIGESRECHT_artDerFestlegung_1300;4_3_OtherReservedAreasServingGeneralInterest;5_11_4_Truppenuebungsplatz
SO_SONSTIGESRECHT_artDerFestlegung_1400;5_LandPropertyRight;5_11_5_VermessungsKatasterrecht
SO_SONSTIGESRECHT_artDerFestlegung_9999;10_OtherSupplementaryRegulation;5_11_6_Sonstiges
SO_SONSTIGESRECHT__;10_OtherSupplementaryRegulation;5_11_SonstigesRecht
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1000;7_3_1_1_Road;5_12_1_Bundesautobahn
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1100;7_3_1_1_Road;5_12_2_Bundesstrasse
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1200;7_3_1_1_Road;5_12_3_LandesStaatsstrasse
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_1300;7_3_1_1_Road;5_12_4_Kreisstrasse
SO_STRASSENVERKEHRSRECHT_artDerFestlegung_9999;7_3_1_1_Road;5_12_5_SonstOeffentlStrasse
SO_STRASSENVERKEHRSRECHT__;7_3_1_1_Road;5_12_Strassenverkehrsrecht
SO_WASSERRECHT_artDerFestlegung_1000;7_2_9_Water;5_13_1_Gewaesser
SO_WASSERRECHT_artDerFestlegung_2000;2_1_2_FloodRiskManagementZone;5_13_2_Ueberschwemmungsgebiet
SO_WASSERRECHT_artDerFestlegung_9999;10_OtherSupplementaryRegulation;5_13_3_Sonstiges
SO_WASSERRECHT_artDerFestlegung_10000;7_2_9_Water;5_13_1_1_Gewaesser1Ordnung
SO_WASSERRECHT_artDerFestlegung_10001;7_2_9_Water;5_13_1_2_Gewaesser2Ordnung
SO_WASSERRECHT_artDerFestlegung_10002;7_2_9_Water;5_13_1_3_Gewaesser3Ordnung
SO_WASSERRECHT_artDerFestlegung_20000;2_1_2_FloodRiskManagementZone;5_13_2_1_FestgesetztesUeberschwemmungsgebiet
SO_WASSERRECHT_artDerFestlegung_20001;2_1_2_FloodRiskManagementZone;5_13_2_2_NochNichtFestgesetztesUeberschwemmungsgebiet
SO_WASSERRECHT_artDerFestlegung_20002;2_1_1_AreaExposedToFloodRisk;5_13_2_3_UeberschwemmGefaehrdetesGebiet
SO_WASSERRECHT__;10_OtherSupplementaryRegulation;5_13_Wasserrecht
