AttributeKey;supplementaryRegulation;specificSupplementaryRegulation
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10000;7_1_3_3_Services;3_23_1_1_KommunaleEinrichtung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10001;7_1_3_3_Services;3_23_1_2_BetriebOeffentlZweckbestimmung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10002;7_1_3_3_Services;3_23_1_3_AnlageBundLand
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_10003;7_1_3_3_Services;3_23_1_4_SonstigeOeffentlicheVerwaltung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1200;7_1_3_3_Services;3_23_2_BildungForschung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12000;7_1_3_3_Services;3_23_2_1_Schule
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12001;7_1_3_3_Services;3_23_2_2_Hochschule
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12002;7_1_3_3_Services;3_23_2_3_BerufsbildendeSchule
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12003;7_1_3_3_Services;3_23_2_4_Forschungseinrichtung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_12004;7_1_3_3_Services;3_23_2_5_SonstigesBildungForschung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1400;7_1_3_3_Services;3_23_3_Kirche
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14000;7_1_3_3_Services;3_23_3_1_Sakralgebaeude
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14001;7_1_3_3_Services;3_23_3_2_KirchlicheVerwaltung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14002;7_1_3_3_Services;3_23_3_3_Kirchengemeinde
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_14003;7_1_3_3_Services;3_23_3_4_SonstigesKirche
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1600;7_1_3_3_Services;3_23_4_Sozial
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16000;7_1_3_3_Services;3_23_4_1_EinrichtungKinder
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16001;7_1_3_3_Services;3_23_4_2_EinrichtungJugendliche
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16002;7_1_3_3_Services;3_23_4_3_EinrichtungFamilienErwachsene
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16003;7_1_3_3_Services;3_23_4_4_EinrichtungSenioren
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_16004;7_1_3_3_Services;3_23_4_5_SonstigeSozialeEinrichtung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_1800;7_1_3_3_Services;3_23_5_Gesundheit
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_18000;7_1_3_3_Services;3_23_5_1_Krankenhaus
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_18001;7_1_3_3_Services;3_23_5_2_SonstigesGesundheit
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2000;7_1_3_3_Services;3_23_6_Kultur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_20000;7_1_3_3_Services;3_23_6_1_MusikTheater
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_20001;7_1_3_3_Services;3_23_6_2_Bildung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_20002;7_1_3_3_Services;3_23_6_3_SonstigeKultur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2200;7_1_3_3_Services;3_23_7_Sport
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_22000;7_1_3_3_Services;3_23_7_1_Bad
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_22001;7_1_3_3_Services;3_23_7_2_SportplatzSporthalle
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_22002;7_1_3_3_Services;3_23_7_3_SonstigerSport
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2400;7_1_3_3_Services;3_23_8_SicherheitOrdnung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24000;7_1_3_3_Services;3_23_8_1_Feuerwehr
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24001;7_1_3_3_Services;3_23_8_2_Schutzbauwerk
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24002;7_1_3_3_Services;3_23_8_3_Justiz
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_24003;7_1_3_3_Services;3_23_8_4_SonstigeSicherheitOrdnung
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_2600;7_1_3_3_Services;3_23_9_Infrastruktur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_26000;7_1_3_3_Services;3_23_9_1_Post
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_26001;7_1_3_3_Services;3_23_9_2_SonstigeInfrastruktur
BP_GEMEINBEDARFSFLAECHE_zweckbestimmung_9999;7_1_3_3_Services;3_23_10_Sonstiges
BP_GEMEINSCHAFTSANLAGENFLAECHE__;6_5_CollectiveFacility;3_24_GemeinschaftsanlagenFlaeche
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_1000;6_5_CollectiveFacility;3_24_1_Gemeinschaftsstellplaetze
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_2000;6_5_CollectiveFacility;3_24_2_Gemeinschaftsgaragen
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3000;6_5_CollectiveFacility;3_24_3_Spielplatz
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3100;6_5_CollectiveFacility;3_24_4_Carport
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3200;6_5_CollectiveFacility;3_24_5_GemeinschaftsTiefgarage
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3300;6_5_CollectiveFacility;3_24_6_Nebengebaeude
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3400;6_5_CollectiveFacility;3_24_7_AbfallSammelanlagen
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3500;6_5_CollectiveFacility;3_24_8_EnergieVerteilungsanlagen
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3600;6_5_CollectiveFacility;3_24_9_AbfallWertstoffbehaelter
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3700;6_5_CollectiveFacility;3_24_10_Freizeiteinrichtungen
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3800;6_5_CollectiveFacility;3_24_11_Laermschutzanlagen
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_3900;6_5_CollectiveFacility;3_24_12_AbwasserRegenwasser
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_4000;6_5_CollectiveFacility;3_24_13_Ausgleichsmassnahmen
BP_GEMEINSCHAFTSANLAGENFLAECHE_zweckbestimmung_9999;6_5_CollectiveFacility;3_24_14_Sonstiges
BP_GEMEINSCHAFTSANLAGENZUORDNUNG__;6_5_CollectiveFacility;3_25_GemeinschaftsanlagenZuordnung
BP_GENERISCHESOBJEKT__;10_OtherSupplementaryRegulation;3_26_GenerischesObjekt
BP_GEWAESSERFLAECHE__;7_2_9_Water;3_27_GewaesserFlaeche
BP_GEWAESSERFLAECHE_zweckbestimmung_1000;7_1_3_9_HarborActivities;3_27_1_Hafen
BP_GEWAESSERFLAECHE_zweckbestimmung_1100;7_2_9_Water;3_27_2_Wasserflaeche
BP_GEWAESSERFLAECHE_zweckbestimmung_1200;7_2_9_Water;3_27_3_Fliessgewaesser
BP_GEWAESSERFLAECHE_zweckbestimmung_9999;7_2_9_Water;3_27_4_Sonstiges
BP_GRUENFLAECHE__;7_2_OpenSpaceStructure;3_28_Gruen
BP_GRUENFLAECHE_zweckbestimmung_1000;7_2_3_Recreation;3_28_1_Parkanlage
BP_GRUENFLAECHE_zweckbestimmung_10000;7_2_3_Recreation;3_28_1_1_ParkanlageHistorisch
BP_GRUENFLAECHE_zweckbestimmung_10001;7_2_3_Recreation;3_28_1_2_ParkanlageNaturnah
BP_GRUENFLAECHE_zweckbestimmung_10002;7_2_3_Recreation;3_28_1_3_ParkanlageWaldcharakter
BP_GRUENFLAECHE_zweckbestimmung_10003;7_2_3_Recreation;3_28_1_4_NaturnaheUferParkanlage
BP_GRUENFLAECHE_zweckbestimmung_1200;7_2_3_Recreation;3_28_2_Dauerkleingarten
BP_GRUENFLAECHE_zweckbestimmung_12000;7_2_3_Recreation;3_28_2_1_ErholungsGaerten
BP_GRUENFLAECHE_zweckbestimmung_1400;7_2_3_Recreation;3_28_3_Sportplatz
BP_GRUENFLAECHE_zweckbestimmung_14000;7_2_3_Recreation;3_28_3_1_Reitsportanlage
BP_GRUENFLAECHE_zweckbestimmung_14001;7_2_3_Recreation;3_28_3_2_Hundesportanlage
BP_GRUENFLAECHE_zweckbestimmung_14002;7_2_3_Recreation;3_28_3_3_Wassersportanlage
BP_GRUENFLAECHE_zweckbestimmung_14003;7_2_3_Recreation;3_28_3_4_Schiessstand
BP_GRUENFLAECHE_zweckbestimmung_14004;7_2_3_Recreation;3_28_3_5_Golfplatz
BP_GRUENFLAECHE_zweckbestimmung_14005;7_2_3_Recreation;3_28_3_6_Skisport
BP_GRUENFLAECHE_zweckbestimmung_14006;7_2_3_Recreation;3_28_3_7_Tennisanlage
BP_GRUENFLAECHE_zweckbestimmung_14007;7_2_3_Recreation;3_28_3_8_SonstigerSportplatz
BP_GRUENFLAECHE_zweckbestimmung_1600;7_2_3_Recreation;3_28_4_Spielplatz
BP_GRUENFLAECHE_zweckbestimmung_16000;7_2_3_Recreation;3_28_4_1_Bolzplatz
BP_GRUENFLAECHE_zweckbestimmung_16001;7_2_3_Recreation;3_28_4_2_Abenteuerspielplatz
BP_GRUENFLAECHE_zweckbestimmung_1800;7_2_3_Recreation;3_28_5_Zeltplatz
BP_GRUENFLAECHE_zweckbestimmung_18000;7_2_3_Recreation;3_28_5_1_Campingplatz
BP_GRUENFLAECHE_zweckbestimmung_2000;7_2_3_Recreation;3_28_6_Badeplatz
BP_GRUENFLAECHE_zweckbestimmung_2200;7_2_3_Recreation;3_28_7_FreizeitErholung
BP_GRUENFLAECHE_zweckbestimmung_22000;7_2_3_Recreation;3_28_7_1_Kleintierhaltung
BP_GRUENFLAECHE_zweckbestimmung_22001;7_2_3_Recreation;3_28_7_2_Festplatz
BP_GRUENFLAECHE_zweckbestimmung_2400;7_2_10_OtherOpenSpaceStructures;3_28_8_SpezGruenflaeche
BP_GRUENFLAECHE_zweckbestimmung_24000;7_2_10_OtherOpenSpaceStructures;3_28_8_1_StrassenbegleitGruen
BP_GRUENFLAECHE_zweckbestimmung_24001;7_2_10_OtherOpenSpaceStructures;3_28_8_2_BoeschungsFlaeche
BP_GRUENFLAECHE_zweckbestimmung_24002;7_2_10_OtherOpenSpaceStructures;3_28_8_3_FeldWaldWiese
BP_GRUENFLAECHE_zweckbestimmung_24003;7_2_10_OtherOpenSpaceStructures;3_28_8_4_Uferschutzstreifen
BP_GRUENFLAECHE_zweckbestimmung_24004;7_2_10_OtherOpenSpaceStructures;3_28_8_5_Abschirmgruen
BP_GRUENFLAECHE_zweckbestimmung_24005;7_2_3_Recreation;3_28_8_6_UmweltbildungsparkSchaugatter
BP_GRUENFLAECHE_zweckbestimmung_24006;7_2_10_OtherOpenSpaceStructures;3_28_8_7_RuhenderVerkehr
BP_GRUENFLAECHE_zweckbestimmung_2600;7_2_10_OtherOpenSpaceStructures;3_28_9_Friedhof
BP_GRUENFLAECHE_zweckbestimmung_9999;7_2_10_OtherOpenSpaceStructures;3_28_10_Sonstiges
BP_GRUENFLAECHE_zweckbestimmung_99990;7_2_1_Agriculture;3_28_10_1_Gaertnerei
BP_HOEHENMASS__;10_OtherSupplementaryRegulation;3_29_HoehenMass
BP_IMMISSIONSSCHUTZ__;1_ImpactOnEnvironment;3_30_Immissionsschutz
BP_KENNZEICHNUNGSFLAECHE__;10_OtherSupplementaryRegulation;3_31_KennzeichnungsFlaeche
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_1000;2_RiskExposure;3_31_1_Naturgewalten
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_2000;2_3_Mining;3_31_2_Abbauflaeche
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_3000;2_RiskExposure;3_31_3_AeussereEinwirkungen
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_4000;2_2_IndustrialRisk;3_31_4_SchadstoffBelastBoden
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_5000;1_1_NoiseManagementZone;3_31_5_LaermBelastung
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_6000;2_3_Mining;3_31_6_Bergbau
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_7000;5_3_AreaReservedForRestructuringParcels;3_31_7_Bodenordnung
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_8000;7_1_5_SpatialDevelopmentProjects;3_31_8_Vorhabensgebiet
BP_KENNZEICHNUNGSFLAECHE_zweckbestimmung_9999;10_OtherSupplementaryRegulation;3_31_9_AndereGesetzlVorschriften
BP_LANDWIRTSCHAFT__;7_2_1_Agriculture;3_33_Landwirtschaft
BP_LANDWIRTSCHAFT_zweckbestimmung_1000;7_2_1_Agriculture;3_33_1_LandwirtschaftAllgemein
BP_LANDWIRTSCHAFT_zweckbestimmung_1100;7_2_1_Agriculture;3_33_2_Ackerbau
BP_LANDWIRTSCHAFT_zweckbestimmung_1200;7_2_1_Agriculture;3_33_3_WiesenWeidewirtschaft
BP_LANDWIRTSCHAFT_zweckbestimmung_1300;7_2_1_Agriculture;3_33_4_GartenbaulicheErzeugung
BP_LANDWIRTSCHAFT_zweckbestimmung_1400;7_2_1_Agriculture;3_33_5_Obstbau
BP_LANDWIRTSCHAFT_zweckbestimmung_1500;7_2_1_Agriculture;3_33_6_Weinbau
BP_LANDWIRTSCHAFT_zweckbestimmung_1600;7_2_1_Agriculture;3_33_7_Imkerei
BP_LANDWIRTSCHAFT_zweckbestimmung_1700;7_2_1_Agriculture;3_33_8_Binnenfischerei
BP_LANDWIRTSCHAFT_zweckbestimmung_9999;7_2_1_Agriculture;3_33_9_Sonstiges
BP_NEBENANLAGENAUSSCHLUSSFLAECHE__;9_1_RestrictedActivities;3_34_NebenanlagenAusschlussFlaeche
BP_NEBENANLAGENAUSSCHLUSSFLAECHE_typ_1000;9_1_RestrictedActivities;3_34_1_Einschraenkung
BP_NEBENANLAGENAUSSCHLUSSFLAECHE_typ_2000;9_1_RestrictedActivities;3_34_2_Ausschluss
BP_NEBENANLAGENFLAECHE__;6_4_SecondaryStructuraArea;3_35_NebenanlagenFlaeche
BP_NEBENANLAGENFLAECHE_zweckbestimmung_1000;6_4_SecondaryStructuraArea;3_35_1_Stellplaetze
BP_NEBENANLAGENFLAECHE_zweckbestimmung_2000;6_4_SecondaryStructuraArea;3_35_2_Garagen
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3000;6_4_SecondaryStructuraArea;3_35_3_Spielplatz
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3100;6_4_SecondaryStructuraArea;3_35_4_Carport
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3200;6_4_SecondaryStructuraArea;3_35_5_Tiefgarage
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3300;6_4_SecondaryStructuraArea;3_35_6_Nebengebaeude
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3400;6_4_SecondaryStructuraArea;3_35_7_AbfallSammelanlagen
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3500;6_4_SecondaryStructuraArea;3_35_8_EnergieVerteilungsanlagen
BP_NEBENANLAGENFLAECHE_zweckbestimmung_3600;6_4_SecondaryStructuraArea;3_35_9_AbfallWertstoffbehaelter
BP_NEBENANLAGENFLAECHE_zweckbestimmung_9999;6_4_SecondaryStructuraArea;3_35_10_Sonstiges
BP_NUTZUNGSARTENGRENZE__;10_OtherSupplementaryRegulation;3_36_NutzungsartenGrenze
BP_NUTZUNGSARTENGRENZE_typ_1000;10_OtherSupplementaryRegulation;3_36_1_Nutzungsartengrenze
BP_NUTZUNGSARTENGRENZE_typ_9999;10_OtherSupplementaryRegulation;3_36_2_SonstigeAbgrenzung
BP_PERSGRUPPENBESTIMMTEFLAECHE__;8_2_PubliclySubsidisedHousingArea;3_37_PersGruppenBestimmteFlaeche
BP_REGELUNGVERGNUEGUNGSSTAETTEN__;9_RegulatedActivities;3_38_RegelungVergnuegungsstaetten
BP_REGELUNGVERGNUEGUNGSSTAETTEN_zulaessigkeit_1000;9_2_PermittedActivities;3_38_1_Zulaessig
BP_REGELUNGVERGNUEGUNGSSTAETTEN_zulaessigkeit_2000;9_3_ForbidenActivities;3_38_2_NichtZulaessig
BP_REGELUNGVERGNUEGUNGSSTAETTEN_zulaessigkeit_3000;9_1_RestrictedActivities;3_38_3_AusnahmsweiseZulaessig
BP_REKULTIVIERUNGSFLAECHE__;7_2_8_Recultivation;3_39_RekultivierungsFlaeche
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE__;3_HeritageProtection;3_40_SchutzPflegeEntwicklungsFlaeche
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_1000;3_HeritageProtection;3_40_1_SchutzPflege
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_2000;3_HeritageProtection;3_40_2_Entwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_3000;3_HeritageProtection;3_40_3_Anlage
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_4000;3_HeritageProtection;3_40_4_SchutzPflegeEntwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSFLAECHE_ziel_9999;3_HeritageProtection;3_40_5_Sonstiges
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME__;3_HeritageProtection;3_41_SchutzPflegeEntwicklungsMassnahme
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_1000;3_HeritageProtection;3_41_1_SchutzPflege
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_2000;3_HeritageProtection;3_41_2_Entwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_3000;3_HeritageProtection;3_41_3_Anlage
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_4000;3_HeritageProtection;3_41_4_SchutzPflegeEntwicklung
BP_SCHUTZPFLEGEENTWICKLUNGSMASSNAHME_ziel_9999;3_HeritageProtection;3_41_5_Sonstiges
BP_SPEZIELLEBAUWEISE__;6_3_SpatialDesign;3_42_SpezielleBauweise
BP_SPEZIELLEBAUWEISE_typ_1000;6_3_SpatialDesign;3_42_1_Durchfahrt
BP_SPEZIELLEBAUWEISE_typ_1100;6_3_SpatialDesign;3_42_2_Durchgang
BP_SPEZIELLEBAUWEISE_typ_1200;6_3_SpatialDesign;3_42_3_DurchfahrtDurchgang
BP_SPEZIELLEBAUWEISE_typ_1300;6_3_SpatialDesign;3_42_4_Auskragung
BP_SPEZIELLEBAUWEISE_typ_1400;6_3_SpatialDesign;3_42_5_Arkade
BP_SPEZIELLEBAUWEISE_typ_1500;6_3_SpatialDesign;3_42_6_Luftgeschoss
BP_SPEZIELLEBAUWEISE_typ_9999;6_3_SpatialDesign;3_42_7_Sonstiges
